seed,window_size,lam,networksize,learnrate,sharpe,cumret,meanret,stdret
2,1,0.001,32,0.001,1.657,1.087,0.001,0.006
2,1,0.001,32,0.0005,1.642,1.086,0.001,0.006
2,1,0.001,32,0.0001,1.619,1.084,0.001,0.006
2,1,0.001,32,1e-05,1.671,1.088,0.001,0.006
2,1,0.001,64,0.01,1.572,1.087,0.001,0.007
2,1,0.001,64,0.005,1.778,1.097,0.001,0.007
2,1,0.001,64,0.001,1.716,1.096,0.001,0.007
2,1,0.001,64,0.0005,1.802,1.1,0.001,0.007
2,1,0.001,64,0.0001,1.791,1.099,0.001,0.007
2,1,0.001,64,1e-05,1.771,1.097,0.001,0.007
2,1,0.001,128,0.01,1.401,1.074,0.001,0.006
2,1,0.001,128,0.005,1.799,1.1,0.001,0.007
2,1,0.001,128,0.001,1.818,1.102,0.001,0.007
2,1,0.001,128,0.0005,1.806,1.1,0.001,0.007
2,1,0.001,128,0.0001,1.762,1.095,0.001,0.007
2,1,0.001,128,1e-05,1.769,1.095,0.001,0.007
2,1,0.01,32,0.01,1.694,1.09,0.001,0.007
2,1,0.01,32,0.005,0.17,1.012,0.0,0.009
2,1,0.01,32,0.001,1.653,1.086,0.001,0.006
2,1,0.01,32,0.0005,1.643,1.086,0.001,0.006
2,1,0.01,32,0.0001,1.611,1.083,0.001,0.006
2,1,0.01,32,1e-05,1.671,1.088,0.001,0.006
2,1,0.01,64,0.01,1.735,1.093,0.001,0.007
2,1,0.01,64,0.005,1.693,1.093,0.001,0.007
2,1,0.01,64,0.001,1.729,1.097,0.001,0.007
2,1,0.01,64,0.0005,1.798,1.099,0.001,0.007
2,1,0.01,64,0.0001,1.791,1.099,0.001,0.007
2,1,0.01,64,1e-05,1.768,1.097,0.001,0.007
2,1,0.01,128,0.01,1.72,1.097,0.001,0.007
2,1,0.01,128,0.005,1.886,1.11,0.001,0.007
2,1,0.01,128,0.001,1.819,1.103,0.001,0.007
2,1,0.01,128,0.0005,1.807,1.1,0.001,0.007
2,1,0.01,128,0.0001,1.761,1.095,0.001,0.007
2,1,0.01,128,1e-05,1.77,1.096,0.001,0.007
2,1,0.1,32,0.01,1.704,1.092,0.001,0.007
2,1,0.1,32,0.005,1.561,1.081,0.001,0.006
2,1,0.1,32,0.001,1.619,1.084,0.001,0.006
2,1,0.1,32,0.0005,1.651,1.087,0.001,0.006
2,1,0.1,32,0.0001,1.623,1.084,0.001,0.006
2,1,0.1,32,1e-05,1.669,1.087,0.001,0.006
2,1,0.1,64,0.01,1.738,1.095,0.001,0.007
2,1,0.1,64,0.005,1.778,1.097,0.001,0.007
2,1,0.1,64,0.001,1.758,1.097,0.001,0.007
2,1,0.1,64,0.0005,1.798,1.1,0.001,0.007
2,1,0.1,64,0.0001,1.791,1.099,0.001,0.007
2,1,0.1,64,1e-05,1.779,1.098,0.001,0.007
2,1,0.1,128,0.01,1.904,1.134,0.001,0.009
2,1,0.1,128,0.005,1.86,1.105,0.001,0.007
2,1,0.1,128,0.001,1.836,1.103,0.001,0.007
2,1,0.1,128,0.0005,1.797,1.099,0.001,0.007
2,1,0.1,128,0.0001,1.763,1.095,0.001,0.007
2,1,0.1,128,1e-05,1.77,1.096,0.001,0.007
2,1,0.5,32,0.01,1.707,1.091,0.001,0.007
2,1,0.5,32,0.005,1.709,1.092,0.001,0.007
2,1,0.5,32,0.001,1.625,1.084,0.001,0.006
2,1,0.5,32,0.0005,1.621,1.084,0.001,0.006
2,1,0.5,32,0.0001,1.617,1.084,0.001,0.006
2,1,0.5,32,1e-05,1.658,1.087,0.001,0.006
2,1,0.5,64,0.01,1.606,1.087,0.001,0.007
2,1,0.5,64,0.005,1.792,1.099,0.001,0.007
2,1,0.5,64,0.001,1.795,1.099,0.001,0.007
2,1,0.5,64,0.0005,1.789,1.099,0.001,0.007
2,1,0.5,64,0.0001,1.792,1.099,0.001,0.007
2,1,0.5,64,1e-05,1.804,1.1,0.001,0.007
2,1,0.5,128,0.01,1.565,1.085,0.001,0.007
2,1,0.5,128,0.005,1.821,1.106,0.001,0.007
2,1,0.5,128,0.001,1.822,1.101,0.001,0.007
2,1,0.5,128,0.0005,1.804,1.099,0.001,0.007
2,1,0.5,128,0.0001,1.762,1.095,0.001,0.007
2,1,0.5,128,1e-05,1.771,1.096,0.001,0.007
2,1,1.0,32,0.01,1.572,1.084,0.001,0.007
2,1,1.0,32,0.001,1.632,1.085,0.001,0.006
2,1,1.0,32,0.005,1.627,1.086,0.001,0.006
2,1,1.0,32,0.0005,1.624,1.084,0.001,0.006
2,1,1.0,32,0.0001,1.599,1.083,0.001,0.006
2,1,1.0,32,1e-05,1.646,1.086,0.001,0.006
2,1,1.0,64,0.01,1.605,1.13,0.001,0.01
2,1,1.0,64,0.005,1.812,1.101,0.001,0.007
2,1,1.0,64,0.001,1.793,1.099,0.001,0.007
2,1,1.0,64,0.0005,1.792,1.099,0.001,0.007
2,1,1.0,64,0.0001,1.792,1.099,0.001,0.007
