date,MSFT,JPM,JNJ,XOM,PG
2024-05-13,0.23140708,0.18344888,0.15529439,0.19910844,0.23074125
2024-05-14,0.23116352,0.18381587,0.15520571,0.19959365,0.23022129
2024-05-15,0.23137312,0.18392047,0.15521540,0.19944385,0.23004721
2024-05-16,0.23138747,0.18415901,0.15516841,0.19966690,0.22961824
2024-05-17,0.23154552,0.18441679,0.15511310,0.19986288,0.22906166
2024-05-20,0.23132268,0.18454936,0.15506613,0.20023336,0.22882852
2024-05-21,0.23134157,0.18468478,0.15504391,0.20032595,0.22860384
2024-05-22,0.23091562,0.18491079,0.15496878,0.20088339,0.22832142
2024-05-23,0.23065141,0.18493789,0.15495849,0.20095934,0.22849290
2024-05-24,0.23073459,0.18484218,0.15500627,0.20056602,0.22885096
2024-05-28,0.23106888,0.18455538,0.15512501,0.19971645,0.22953425
2024-05-29,0.23119508,0.18425208,0.15523148,0.19901025,0.23031110
2024-05-30,0.23136614,0.18393613,0.15531826,0.19839650,0.23098293
2024-05-31,0.23172620,0.18359683,0.15542373,0.19764854,0.23160468
2024-06-03,0.23181918,0.18332647,0.15549305,0.19716500,0.23219636
2024-06-04,0.23196316,0.18324585,0.15550759,0.19693577,0.23234755
2024-06-05,0.23196851,0.18304867,0.15555248,0.19662738,0.23280299
2024-06-06,0.23213488,0.18278082,0.15561984,0.19623324,0.23323126
2024-06-07,0.23221447,0.18271405,0.15563057,0.19615762,0.23328328
2024-06-10,0.23188253,0.18275693,0.15558788,0.19657218,0.23320040
2024-06-11,0.23114014,0.18292837,0.15548769,0.19749132,0.23295248
2024-06-12,0.23044428,0.18302895,0.15541977,0.19820894,0.23289807
2024-06-13,0.22984841,0.18311268,0.15537877,0.19871189,0.23294824
2024-06-14,0.22917113,0.18315230,0.15534717,0.19913195,0.23319750
2024-06-17,0.22866219,0.18315893,0.15534160,0.19936495,0.23347230
2024-06-18,0.22846280,0.18312448,0.15536346,0.19931176,0.23373750
2024-06-20,0.22818127,0.18324877,0.15532680,0.19960190,0.23364124
2024-06-21,0.22777589,0.18338749,0.15528446,0.19992045,0.23363169
2024-06-24,0.22739492,0.18348661,0.15524942,0.20028874,0.23358037
2024-06-25,0.22715659,0.18348436,0.15525259,0.20036986,0.23373656
2024-06-26,0.22715192,0.18348895,0.15526479,0.20030294,0.23379134
2024-06-27,0.22734931,0.18351583,0.15527375,0.20019813,0.23366296
2024-06-28,0.22761223,0.18352042,0.15529056,0.19998246,0.23359430
2024-07-01,0.22804986,0.18351243,0.15533519,0.19948353,0.23361905
2024-07-02,0.22863382,0.18347715,0.15539183,0.19886290,0.23363426
