date,MSFT,JPM,JNJ,XOM,PG
2024-10-29,0.20165947,0.20060414,0.19265132,0.19936632,0.20571876
2024-10-30,0.20192862,0.20012586,0.19310530,0.19870996,0.20613018
2024-10-31,0.20187722,0.19998501,0.19315110,0.19861530,0.20637143
2024-11-01,0.20186748,0.19982341,0.19322948,0.19846168,0.20661794
2024-11-04,0.20187512,0.19966973,0.19330557,0.19828244,0.20686713
2024-11-05,0.20187508,0.19953689,0.19336323,0.19811232,0.20711249
2024-11-06,0.20298147,0.19800772,0.19505139,0.19563150,0.20832801
2024-11-07,0.20378448,0.19687673,0.19626535,0.19381678,0.20925668
2024-11-08,0.20454440,0.19594008,0.19732878,0.19219373,0.20999296
2024-11-11,0.20529254,0.19493900,0.19842976,0.19053006,0.21080868
2024-11-12,0.20624092,0.19373146,0.19977923,0.18848163,0.21176672
2024-11-13,0.20723933,0.19249322,0.20117207,0.18636350,0.21273185
2024-11-14,0.20866705,0.19077243,0.20312636,0.18347360,0.21396057
2024-11-15,0.20981877,0.18944052,0.20468254,0.18117307,0.21488506
2024-11-18,0.20963593,0.18964374,0.20463580,0.18150511,0.21457942
2024-11-19,0.20945917,0.18981600,0.20459159,0.18179564,0.21433766
2024-11-20,0.20957522,0.18987681,0.20452039,0.18166274,0.21436481
2024-11-21,0.20962825,0.19001649,0.20444028,0.18166736,0.21424767
2024-11-22,0.20965764,0.19015828,0.20437488,0.18172114,0.21408816
2024-11-25,0.20973432,0.19032826,0.20430022,0.18176474,0.21387243
2024-11-26,0.20985730,0.19051906,0.20421828,0.18179193,0.21361351
2024-11-27,0.21000233,0.19069299,0.20413361,0.18177329,0.21339783
2024-11-29,0.21015602,0.19085295,0.20405442,0.18173791,0.21319874
2024-12-02,0.21028437,0.19093618,0.20401511,0.18169187,0.21307251
2024-12-03,0.21032910,0.19094664,0.20400669,0.18166292,0.21305460
2024-12-04,0.21037090,0.19095610,0.20400359,0.18164645,0.21302292
2024-12-05,0.21037088,0.19099812,0.20399989,0.18170725,0.21292388
2024-12-06,0.21032275,0.19097786,0.20402345,0.18176903,0.21290699
2024-12-09,0.21028498,0.19083737,0.20409107,0.18173659,0.21305001
2024-12-10,0.21025135,0.19068792,0.20415196,0.18167397,0.21323481
2024-12-11,0.21015404,0.19050245,0.20422900,0.18163566,0.21347883
2024-12-12,0.21004845,0.19030760,0.20431064,0.18159983,0.21373346
2024-12-13,0.20997955,0.19011216,0.20438713,0.18152681,0.21399431
2024-12-16,0.20986198,0.18993282,0.20445479,0.18149213,0.21425816
2024-12-17,0.20985383,0.18979812,0.20450832,0.18141516,0.21442451
2024-12-18,0.20989586,0.18962158,0.20454660,0.18120959,0.21472642
2024-12-19,0.20993300,0.18944427,0.20458136,0.18100041,0.21504095
2024-12-20,0.20996736,0.18929780,0.20460813,0.18082128,0.21530539
2024-12-23,0.21000220,0.18921547,0.20460962,0.18068387,0.21548890
2024-12-24,0.21000327,0.18915223,0.20462132,0.18061833,0.21560480
2024-12-26,0.21006551,0.18912892,0.20460945,0.18052000,0.21567605
2024-12-27,0.21012163,0.18909861,0.20459375,0.18040806,0.21577793
2024-12-30,0.21012220,0.18903431,0.20458931,0.18030825,0.21594600
